seed,delta_base,vacancy_rate,simulated_unrate,distance
663,0.0057266314948273885,0.018038539177089315,0.0465916666666667,0.0015916666666666995
667,0.005725103874037879,0.07002147015356816,0.04253333333333342,0.0024666666666665754
677,0.006568842104564283,0.05762031820543747,0.04444583333333341,0.0005541666666665918
680,0.006739623176911175,0.018958032233107748,0.04657083333333334,0.0015708333333333407
688,0.005065646515528225,0.043636035931976604,0.04331666666666667,0.0016833333333333284
692,0.0067362945141960385,0.02007203609332755,0.04647083333333335,0.0014708333333333518
706,0.006066944401421536,0.03978532954472693,0.047924999999999884,0.002924999999999886
773,0.008299021108898817,0.07130474685183728,0.04658749999999989,0.0015874999999998946
782,0.007661722833771719,0.024466358096536696,0.04430416666666659,0.0006958333333334094
801,0.00949010711318929,0.030995286320473242,0.049654166666666555,0.0046541666666665565
805,0.0058038371813578515,0.017097658950852464,0.04212499999999997,0.0028750000000000303
817,0.007909639309990111,0.06356045511530985,0.04827499999999996,0.0032749999999999585
818,0.006623551428890555,0.02074034652593156,0.045466666666666655,0.0004666666666666569
871,0.00603791988233926,0.06670533669087057,0.04390416666666663,0.0010958333333333653
900,0.005293913742732699,0.013114755720670657,0.04300416666666662,0.001995833333333377
933,0.008623229060405333,0.03920240403383963,0.04804583333333323,0.003045833333333234
960,0.008094804624938275,0.07778705163413441,0.04980833333333334,0.004808333333333345
965,0.007797039825082932,0.0200233726443073,0.04791666666666672,0.00291666666666672
986,0.00764445437226125,0.021585431271756522,0.04838750000000003,0.0033875000000000294
1007,0.008917371560348717,0.06711862416245604,0.04924583333333332,0.004245833333333324
1009,0.008107525412939161,0.03288409113710033,0.046316666666666784,0.0013166666666667853
1022,0.005028965498337375,0.07428917292393734,0.04228750000000003,0.002712499999999965
1027,0.0065386005861115815,0.04935019503872833,0.04303749999999995,0.0019625000000000475
1044,0.005680376582244441,0.07009273221388017,0.04575416666666676,0.000754166666666764
1054,0.00645008333050328,0.06638088485974769,0.0434041666666668,0.0015958333333331992
